Canonical Reference Song Index
=======================================
english | #1 | Spirit of the Living God | F | normalized= spirit of the living god
english | #366 | Nearermy Godtothee | E | normalized= nearermy godtothee
english | #372 | Justacloserwalkwiththee | A | normalized= justacloserwalkwiththee
english | #373 | THEREISALANDOFMILKANDHONE Yl | G | normalized= thereisalandofmilkandhone yl
english | #1001 | ABOVEALLPOWERSCRUCIFIED | A | normalized= aboveallpowerscrucified
english | #1002 | Alive Alive Jivit Jivit H0192 | F | normalized= alive alive jivit jivit h0192
english | #1003 | All Ioncehelddear | C | normalized= all ioncehelddear
english | #1004 | Allelujahforour Lord God Almighty Reign | A | normalized= allelujahforour lord god almighty reign
english | #1005 | Come Thou Fountof Every Blessing | D | normalized= come thou fountof every blessing
english | #1006 | El Elah Elohimhowwelongtoworship You | C | normalized= el elah elohimhowwelongtoworship you
english | #1007 | Every Praiseistoour God Everywordofworshipwithoneaccord | G | normalized= every praiseistoour god everywordofworshipwithoneaccord
english | #1008 | He Lookedbeyondmyfaults Amazing Grace | D | normalized= he lookedbeyondmyfaults amazing grace
english | #1009 | Here I Am To Worship | G | normalized= here i am to worship
english | #1010 | I Enterthe Holyof Holies | F | normalized= i enterthe holyof holies
english | #1011 | Holy Words Long Preserved | G | normalized= holy words long preserved
english | #1013 | Illsing Praisestoyourname | G | normalized= illsing praisestoyourname
english | #1014 | Inyour Presence | G | normalized= inyour presence
english | #1015 | Its Already Done | G | normalized= its already done
english | #1016 | No Longer Slaves Frommymotherswomb | D | normalized= no longer slaves frommymotherswomb
english | #1017 | Lord Icometo Thee Powerof Love | A | normalized= lord icometo thee powerof love
english | #1018 | Our Godisan Awesome God | E | normalized= our godisan awesome god
english | #1019 | Takemepasttheoutercourt Takemeintotheholyofholies | E | normalized= takemepasttheoutercourt takemeintotheholyofholies
english | #1020 | STILL Hidemenowunderyourwings | C | normalized= still hidemenowunderyourwings
english | #1021 | Opentheeyesofmyheart Lord | E | normalized= opentheeyesofmyheart lord
english | #1022 | Thankyouforthe Cross | C | normalized= thankyouforthe cross
english | #1023 | Lord Iliftyournameon High | A | normalized= lord iliftyournameon high
english | #1024 | Sometimes Hallelujah Sometimes Praisethe Lord | G | normalized= sometimes hallelujah sometimes praisethe lord
english | #1025 | Whatshall Irenderunto Jehovah Youvedonesomuchforme | D | normalized= whatshall irenderunto jehovah youvedonesomuchforme
english | #1026 | In Christ Alonemy Hopeisfound | F | normalized= in christ alonemy hopeisfound
english | #1027 | Goodnessof God Ilove You Lord For Yourmercyneverfailsme C1027 | C | normalized= goodnessof god ilove you lord for yourmercyneverfailsme c1027
english | #1028 | Heknowsmyname | D | normalized= heknowsmyname
english | #1029 | Hallowedbethyname | F | normalized= hallowedbethyname
english | #1030 | Youdeservethegloryandthehonour | D | normalized= youdeservethegloryandthehonour
english | #1031 | Shouttothe Lordalltheearthletussing | C | normalized= shouttothe lordalltheearthletussing
english | #1032 | Givemethatoldtimereligion | A | normalized= givemethatoldtimereligion
english | #1033 | Icometothegardenalone | A | normalized= icometothegardenalone
english | #1034 | Thisisthe Air I Breathe |  | normalized= thisisthe air i breathe
english | #1035 | Iwillcelebrate | F | normalized= iwillcelebrate
english | #1036 | Willthecirclebe Unbroken | F | normalized= willthecirclebe unbroken
english | #1037 | Welcome Holy Spirit | D | normalized= welcome holy spirit
english | #1038 | Theresaroofupaboveme Thankyou Lordforyourblessingsonme | D | normalized= theresaroofupaboveme thankyou lordforyourblessingsonme
english | #1039 | Itiswellwithmy Soul | B | normalized= itiswellwithmy soul
hindi | #1 | आज का Dinyehovahnebanaya | C | normalized= dinyehovahnebanaya
hindi | #3 | Nayaa Jeevan Milgaya | F | normalized= nayaa jeevan milgaya
hindi | #4 | Muktidilaye Yeshunaam |  | normalized= muktidilaye yeshunaam
hindi | #5 | Yeshunekahaajeevankiroti | C | normalized= yeshunekahaajeevankiroti
hindi | #9 | Aayehaihumterecharnome | G | normalized= aayehaihumterecharnome
hindi | #10 | Siyondeshhamarawahdesh | D | normalized= siyondeshhamarawahdesh
hindi | #11 | Humaayehaiteresharanme | F | normalized= humaayehaiteresharanme
hindi | #13 | Jaidenewale Prabhu Yeshuko | D | normalized= jaidenewale prabhu yeshuko
hindi | #14 | Prabhumerajeevan | G | normalized= prabhumerajeevan
hindi | #15 | Pyara Yeshukapaigamhumsunaneaayehai | G | normalized= pyara yeshukapaigamhumsunaneaayehai
hindi | #16 | Sharonkagulaab | F | normalized= sharonkagulaab
hindi | #17 | Nileyaasmakepaarjayenge | D | normalized= nileyaasmakepaarjayenge
hindi | #18 | Uthatehaiteranaam | G | normalized= uthatehaiteranaam
hindi | #19 | Usnedakhrusaurtelundhela | F | normalized= usnedakhrusaurtelundhela
hindi | #21 | Yehovakistutikaro | G | normalized= yehovakistutikaro
hindi | #26 | Aawazuthaenge | F | normalized= aawazuthaenge
hindi | #27 | Aadiauraanttuhihai | A | normalized= aadiauraanttuhihai
hindi | #31 | Jai Jai प्रभु येशू Ki | C | normalized= jai jai ki
hindi | #33 | Jayengeuttamdeshmejarur | F | normalized= jayengeuttamdeshmejarur
hindi | #36 | Prabhu Mahaan Vicharukaryatere |  | normalized= prabhu mahaan vicharukaryatere
hindi | #40 | Teri Aaradhanakaru | E | normalized= teri aaradhanakaru
hindi | #43 | Pawanhaiwoh Prabhu Hamara | E | normalized= pawanhaiwoh prabhu hamara
hindi | #44 | Bolo Jai Milkerjaibolojaiyeshukijai | D | normalized= bolo jai milkerjaibolojaiyeshukijai
hindi | #49 | Mahimasetujobharaahua | D | normalized= mahimasetujobharaahua
hindi | #52 | Yehovahcharvahhaimera | A | normalized= yehovahcharvahhaimera
hindi | #53 | Raja Okaraaja Yeshu Raja | G | normalized= raja okaraaja yeshu raja
hindi | #54 | Rabbki Hove Sanna Hamesha | F | normalized= rabbki hove sanna hamesha
hindi | #57 | Hallelujahstutigayehum | A | normalized= hallelujahstutigayehum
hindi | #58 | Heydulhanh Otayyar | D | normalized= heydulhanh otayyar
hindi | #62 | Aihamarebaaptu Joaasmanmeyhai | C | normalized= aihamarebaaptu joaasmanmeyhai
hindi | #64 | Yeshu Raja Ho Maliktummere | D | normalized= yeshu raja ho maliktummere
hindi | #65 | Pavitraaatmaaa | G | normalized= pavitraaatmaaa
hindi | #66 | Khushihaikhushihai | F | normalized= khushihaikhushihai
hindi | #67 | Yehovah Nissi | D | normalized= yehovah nissi
hindi | #68 | Milkarhumsannaterigaate | F | normalized= milkarhumsannaterigaate
hindi | #70 | Aadimeyvachanthaa | D | normalized= aadimeyvachanthaa
hindi | #73 | Ho Shukriyakhudaka | E | normalized= ho shukriyakhudaka
hindi | #75 | Sabse Oocha Naam Prabhu | G | normalized= sabse oocha naam prabhu
hindi | #85 | Anokha Pyaar Shunyaselekar | F | normalized= anokha pyaar shunyaselekar
hindi | #100 | Amberbhinayadhartibhinayi | F | normalized= amberbhinayadhartibhinayi
hindi | #101 | Hey Yehovah Bal Mere | C | normalized= hey yehovah bal mere
hindi | #103 | Oh Aakashsuryachandrama | A | normalized= oh aakashsuryachandrama
hindi | #104 | येशू Masihnemujhe Khushi आनंद | E | normalized= masihnemujhe khushi
hindi | #109 | Mahimadengetujhko | G | normalized= mahimadengetujhko
hindi | #110 | Dhanyanawadx3 | E | normalized= dhanyanawadx3
hindi | #111 | Prarthanamejobhimangeprarthnakosun | E | normalized= prarthanamejobhimangeprarthnakosun
hindi | #121 | Gaata Rahemeradil | G | normalized= gaata rahemeradil
hindi | #122 | Sunosuno Yeshuaayega |  | normalized= sunosuno yeshuaayega
hindi | #124 | Ai Shahoke Shahensha | G | normalized= ai shahoke shahensha
hindi | #125 | Kalisiyakartiintezar |  | normalized= kalisiyakartiintezar
hindi | #134 | Senaoka Yehovahhamaresungsung | G | normalized= senaoka yehovahhamaresungsung
hindi | #139 | Gaungamai Terehigeet | F | normalized= gaungamai terehigeet
hindi | #144 | आनंद आनंद Anandhai | B | normalized= anandhai
hindi | #148 | Taariftaarifmilkekarosaaretaarif | D | normalized= taariftaarifmilkekarosaaretaarif
hindi | #151 | Hamare प्रभु Yeshuji का Naam | A | normalized= hamare yeshuji naam
hindi | #171 | Aapmeraa Raja | E | normalized= aapmeraa raja
hindi | #175 | Terapyaarhaimahaanjaijaikar | F | normalized= terapyaarhaimahaanjaijaikar
hindi | #176 | Prabhukadhanyavadkarunga | E | normalized= prabhukadhanyavadkarunga
hindi | #183 | Tanmanaurdhanuskodo | C | normalized= tanmanaurdhanuskodo
