Language,Song Number,Original Title,Normalized Title,Reference Key
english,1014,Inyour Presence,inyour presence,G
english,1015,Its Already Done,its already done,G
english,1016,No Longer Slaves Frommymotherswomb,no longer slaves frommymotherswomb,D
english,1017,Lord Icometo Thee Powerof Love,lord icometo thee powerof love,A
english,1018,Our Godisan Awesome God,our godisan awesome god,E
english,1019,Takemepasttheoutercourt Takemeintotheholyofholies,takemepasttheoutercourt takemeintotheholyofholies,E
english,1020,STILL Hidemenowunderyourwings,still hidemenowunderyourwings,C
english,1021,Opentheeyesofmyheart Lord,opentheeyesofmyheart lord,E
english,1022,Thankyouforthe Cross,thankyouforthe cross,C
english,1023,Lord Iliftyournameon High,lord iliftyournameon high,A
english,1024,Sometimes Hallelujah Sometimes Praisethe Lord,sometimes hallelujah sometimes praisethe lord,G
english,1025,Whatshall Irenderunto Jehovah Youvedonesomuchforme,whatshall irenderunto jehovah youvedonesomuchforme,D
english,1026,In Christ Alonemy Hopeisfound,in christ alonemy hopeisfound,F
english,1027,Goodnessof God Ilove You Lord For Yourmercyneverfailsme C1027,goodnessof god ilove you lord for yourmercyneverfailsme c1027,C
english,1028,Heknowsmyname,heknowsmyname,D
english,1029,Hallowedbethyname,hallowedbethyname,F
english,1030,Youdeservethegloryandthehonour,youdeservethegloryandthehonour,D
english,1031,Shouttothe Lordalltheearthletussing,shouttothe lordalltheearthletussing,C
english,1032,Givemethatoldtimereligion,givemethatoldtimereligion,A
english,1033,Icometothegardenalone,icometothegardenalone,A
english,1034,Thisisthe Air I Breathe,thisisthe air i breathe,
english,1035,Iwillcelebrate,iwillcelebrate,F
english,1036,Willthecirclebe Unbroken,willthecirclebe unbroken,F
english,1037,Welcome Holy Spirit,welcome holy spirit,D
english,1038,Theresaroofupaboveme Thankyou Lordforyourblessingsonme,theresaroofupaboveme thankyou lordforyourblessingsonme,D
english,1039,Itiswellwithmy Soul,itiswellwithmy soul,B
hindi,1,आज का Dinyehovahnebanaya,dinyehovahnebanaya,C
hindi,3,Nayaa Jeevan Milgaya,nayaa jeevan milgaya,F
hindi,4,Muktidilaye Yeshunaam,muktidilaye yeshunaam,
hindi,5,Yeshunekahaajeevankiroti,yeshunekahaajeevankiroti,C
hindi,9,Aayehaihumterecharnome,aayehaihumterecharnome,G
hindi,10,Siyondeshhamarawahdesh,siyondeshhamarawahdesh,D
hindi,11,Humaayehaiteresharanme,humaayehaiteresharanme,F
hindi,13,Jaidenewale Prabhu Yeshuko,jaidenewale prabhu yeshuko,D
hindi,14,Prabhumerajeevan,prabhumerajeevan,G
hindi,15,Pyara Yeshukapaigamhumsunaneaayehai,pyara yeshukapaigamhumsunaneaayehai,G
hindi,16,Sharonkagulaab,sharonkagulaab,F
hindi,17,Nileyaasmakepaarjayenge,nileyaasmakepaarjayenge,D
hindi,18,Uthatehaiteranaam,uthatehaiteranaam,G
hindi,19,Usnedakhrusaurtelundhela,usnedakhrusaurtelundhela,F
hindi,21,Yehovakistutikaro,yehovakistutikaro,G
hindi,26,Aawazuthaenge,aawazuthaenge,F
hindi,27,Aadiauraanttuhihai,aadiauraanttuhihai,A
hindi,31,Jai Jai प्रभु येशू Ki,jai jai ki,C
hindi,33,Jayengeuttamdeshmejarur,jayengeuttamdeshmejarur,F
hindi,36,Prabhu Mahaan Vicharukaryatere,prabhu mahaan vicharukaryatere,
hindi,40,Teri Aaradhanakaru,teri aaradhanakaru,E
hindi,43,Pawanhaiwoh Prabhu Hamara,pawanhaiwoh prabhu hamara,E
hindi,44,Bolo Jai Milkerjaibolojaiyeshukijai,bolo jai milkerjaibolojaiyeshukijai,D
hindi,49,Mahimasetujobharaahua,mahimasetujobharaahua,D
hindi,52,Yehovahcharvahhaimera,yehovahcharvahhaimera,A
hindi,53,Raja Okaraaja Yeshu Raja,raja okaraaja yeshu raja,G
hindi,54,Rabbki Hove Sanna Hamesha,rabbki hove sanna hamesha,F
hindi,57,Hallelujahstutigayehum,hallelujahstutigayehum,A
hindi,58,Heydulhanh Otayyar,heydulhanh otayyar,D
hindi,62,Aihamarebaaptu Joaasmanmeyhai,aihamarebaaptu joaasmanmeyhai,C
hindi,64,Yeshu Raja Ho Maliktummere,yeshu raja ho maliktummere,D
hindi,65,Pavitraaatmaaa,pavitraaatmaaa,G
hindi,66,Khushihaikhushihai,khushihaikhushihai,F
hindi,67,Yehovah Nissi,yehovah nissi,D
hindi,68,Milkarhumsannaterigaate,milkarhumsannaterigaate,F
hindi,70,Aadimeyvachanthaa,aadimeyvachanthaa,D
hindi,73,Ho Shukriyakhudaka,ho shukriyakhudaka,E
hindi,75,Sabse Oocha Naam Prabhu,sabse oocha naam prabhu,G
hindi,85,Anokha Pyaar Shunyaselekar,anokha pyaar shunyaselekar,F
hindi,100,Amberbhinayadhartibhinayi,amberbhinayadhartibhinayi,F
hindi,101,Hey Yehovah Bal Mere,hey yehovah bal mere,C
hindi,103,Oh Aakashsuryachandrama,oh aakashsuryachandrama,A
hindi,104,येशू Masihnemujhe Khushi आनंद,masihnemujhe khushi,E
hindi,109,Mahimadengetujhko,mahimadengetujhko,G
hindi,110,Dhanyanawadx3,dhanyanawadx3,E
hindi,111,Prarthanamejobhimangeprarthnakosun,prarthanamejobhimangeprarthnakosun,E
hindi,121,Gaata Rahemeradil,gaata rahemeradil,G
hindi,122,Sunosuno Yeshuaayega,sunosuno yeshuaayega,
hindi,124,Ai Shahoke Shahensha,ai shahoke shahensha,G
hindi,125,Kalisiyakartiintezar,kalisiyakartiintezar,
hindi,134,Senaoka Yehovahhamaresungsung,senaoka yehovahhamaresungsung,G
hindi,139,Gaungamai Terehigeet,gaungamai terehigeet,F
hindi,144,आनंद आनंद Anandhai,anandhai,B
hindi,148,Taariftaarifmilkekarosaaretaarif,taariftaarifmilkekarosaaretaarif,D
hindi,151,Hamare प्रभु Yeshuji का Naam,hamare yeshuji naam,A
hindi,171,Aapmeraa Raja,aapmeraa raja,E
hindi,175,Terapyaarhaimahaanjaijaikar,terapyaarhaimahaanjaijaikar,F
hindi,176,Prabhukadhanyavadkarunga,prabhukadhanyavadkarunga,E
